K1,Construction
13204,"32COM*7OE-133*58-160-4/1,S SATIN"
13204,32C*7OE-134*58-160-4/1 SATIN
13204,32C*7OE-134*58-160-4/1 SATIN
13209,"32COM.OG*20K.OG-148*82-155.7-2/1,S TWILL"
13209,"32COM*20K-148*82-155-2/1,S TWILL"
13209,"32COM*20K-148*82-155-2/1,S TWILL"
13209,"32COM*20K-148*82-155.7-2/1,S TWILL"
13209,"32COM*20K-148*82-155.7-2/1,S TWILL"
13209,"32COM*20K-146*82-157.7-2/1,S TWILL"
13209,"32COM*20K-146*82*157.7-2/1,S TWILL"
13216,32COM*30SPX-126*88-189.7-4/1 SATIN
13216,32COM*30SPX-126*88-189.7-4/1 SATIN
13216,32COM*30SPX-126*88-189.7-4/1 SATIN
13216,32COM*30SPX-126*88-189.2-4/1 SATIN
13216,32COM*30LYC-126*88-189.7-4/1 SATIN
13222,32COM*20SPX-148*90-171.7-4/1 SATIN
13226,32COM*20K-148*80-160.5-DOBBY
13232,32COM*16OE-148*72-169.4-DOBBY
13237,32COM*30SPX-145*82-171.2-4/1 SATIN
13244,32COM*16OE-148*74-160.5-DOBBY
13245,32COM*16OE-148*64-160.5-1/1+OXFORD
13246,32COM*20K-132*80-162.6-DOBBY
13249,32COM*16SPX-124*64-161.8-DOBBY
13254,"32COM*7OE-144*58-161.8-4/1,S SATIN"
13254,"32COM*7OE-143*58-163.5-4/1,S SATIN"
13255,32COM*7OE-132*64-160-OTTOMAN
13255,32COM*7OE-132*64-149.9-OTTOMAN
13256,32COM*32COM-156*88-158.2-2/2 HBT
13257,32K.COM.OG*20K.OG.SPX(70D)-144*76-180.26-3/1 S TWILL
13257,32K.COM.OG*20K.OG.SPX(70D)-144*76-180.26-3/1 S TWILL
13257,32K.COM*20K.LYC(70D)-142*76-182.88-3/1 S TWILL
13257,32K.COM OG RC*20K OG RC Spx 70D-146*76-176.5-3/1 S TWILL
13257,32K OG RC*20K OG RC Spx 70D-146*76-176.5-3/1 S TWILL
13257,32COM.RECY.COT*20C.RECY.COT.SPX(70D)-146*76-176.5-3/1 S TWILL
13257,32COM.OG.RECY.COT*20C.OG.RECY.COT.SPX(70D)-146*76-176.5-3/1 S TWILL
13257,32COM*20K.SPX(70D)-146*76-177.80-3/1 S TWILL
13257,32COM*20C SPX(70D)-144*76-180.26-3/1 S TWILL
13257,32C.VORTEX.COT*20K.SPX(70D)-146*76-176.5-3/1 S TWILL
13257,32COM*20LYC-144*76-180.1-3/1 TWILL
13257,"32K.COM*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,"32K.COM*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,"32K.COM*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,"32K.COM*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,"32K.COM*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,"32K.COM*20K.SPX(70D)-144*76-180.1-3/1,S TWILL"
13257,"32K.COM*20K.SPX(70D)-144*76-180.1-3/1,S TWILL"
13257,"32K.COM*20K.SPX(70D)-144*76-180.1-3/1,S TWILL"
13257,"32K.COM*20K.SPX(70D)-144*76-180.1-3/1,S TWILL"
13257,"32K.COM*20K.SPX(70D)-144*76-180.1-3/1,S TWILL"
13257,"32K.COM*20K.SPX(70D)-144*76-180.1-3/1,S TWILL"
13257,"32K.COM*20K.LYC-142*76-182.1-3/1,S TWILL"
13257,"32K*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,"32K*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,"32K*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,"32K*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,"32K*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,"32K*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,"32K*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,"32K*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,"32K*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,"32K*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,"32K*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,"32K*20K.SPX(70D)-144*76-180.1-3/1,S TWILL"
13257,"32COM.OG*20K.OG.SPX-144*76-180.1-3/1,S TWILL"
13257,"32COM.OG*20K.OG.SPX-144*76-180.1-3/1,S TWILL"
13257,"32COM*20SPX-144*76-180.1-3/1,S TWILL"
13257,"32COM*20SPX-144*76-180.1-3/1,S TWILL"
13257,"32COM*20LYC-144*76-180.1-3/1,S TWILL"
13257,"32COM*20LYC-144*76-180.1-3/1,S TWILL"
13257,"32COM*20LYC-144*76-176.5-3/1,S TWILL"
13257,"32COM*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,"32COM*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,"32COM*20K.SPX-144*76-180.1-3/1,S TWILL"
13257,32K.COM.OG.RECY.COT*20K.OG.RECY.COT.SPX(70D)-146*76-176.5-3/1 S TWILL
13257,32K.COM.OG.RECY.COT*20K.OG.RECY.COT.SPX(70D)-146*76-176.5-3/1 S TWILL
13267,32COM*16OE-156*72-160.8-3/1 BKT
13273,32COM*20K-164*80-160.8-3/1 TWILL
13273,"32COM*20OE-162*80-162.5-3/1,S TWILL"
13273,"32COM*20K-162*80-162.5-3/1,S TWILL"
13282,32COM*32COM+20C-156*100-161.3-DOBBY
13282,32COM*32COM+20C-156*100-161.3-DOBBY
13282,32COM*32COM+20C-154*100-165.8-DOBBY
13285,32COM*40COM+30SLUB-140*90-158-2/1 HBT
13286,32COM*12OE-148*68-160.8-WEFTRIB
13286,32COM*12OE-145*68*167-OTTOMAN (WEFT RIB)
13286,32COM*12O.E/148*68-157.68-WEFT RIB
13288,32COM*20SPX-144*76-170.2-3/1 TWILL
13288,32COM*20LYC-144*76-170.2-3/1 TWILL
13293,32COM*20SPX-144*76-165.1-DOBBY
13294,32COM*20SPX+20SLUB-144*76-165.1-DOBBY
13298,32COM*20SPX-144*76-165.1-DOBBY
13299,32COM*20SPX-144*76-165.1-DOBBY
14003,40COM*40COM-118*80-161.8-PLAIN
14003,40COM*40COM-118*80-161.8-PLAIN
14003,40C*40C-118*80-161.8-PLAIN
14005,40COM.OG*40COM.OG-133*72-160.13-2/1 S TWILL
14005,40OG*40OG-133*72-159-2/1 TWILL
14005,40COM*40C-133*72-159-2/1 TWILL
14005,"40COM*40COM-133*72-157.5-2/1, S TWILL"
14005,"40COM.OG*40COM.OG-133*72-159-2/1,S TWILL"
14005,"40COM.OG*40COM.OG-133*72-157.5-2/1,S TWILL"
14005,"40COM*40COM-133*72-159-2/1,S TWILL"
14005,"40COM*40COM-133*72-159-2/1,S TWILL"
14005,"40COM*40COM-133*72-159-2/1,S TWILL"
14005,"40COM*40COM-133*72-159-2/1,S TWILL"
14005,"40COM*40COM-133*72-157.5-2/1,S TWILL"
14005,"40COM*40C-133*72-157.5-2/1,S TWILL"
14005,"40C*40C-133*72-159-2/1,S TWILL"
14005,"40C*40C-133*72-157.5-2/1,S TWILL"
14007,40C*40C-90*86-177.3-PLAIN
14015,40VORTEX.COT*40VORTEX.COT-133*72-160.1-PLAIN
14015,40K.COM*40K.COM-131*72-160-PLAIN
14015,40COM.OG*40COM.OG-131*72-160-PLAIN
14015,40COM.OG*40COM.OG-131*72-160-PLAIN
14015,40COM*40K.COM-131*72-160-PLAIN
14015,40COM*40K.COM-131*72-160-PLAIN
14015,40COM*40K.COM-131*72-160-PLAIN
14015,40COM*40K.COM-131*72-160-PLAIN
14015,40COM*40COM-133*72-160.1-PLAIN
14015,40COM*40COM-133*72-157.7-PLAIN
14015,40COM*40COM-133*72-157.7-PLAIN
14015,40COM*40COM-131*72-160-PLAIN
14015,40COM*40COM-131*72-160-PLAIN
14015,40COM*40COM-131*72-160-PLAIN
14015,40COM*40COM-131*72-160-PLAIN
14015,40COM*40COM-131*72-160-PLAIN
14015,40COM*40COM-131*72-160-PLAIN
14015,40COM*40COM-131*72-160-PLAIN
14015,40COM*40COM-131*72-160-PLAIN
14015,40COM*40COM-131*72-160-PLAIN
14015,40COM*40COM-131*72-160-PLAIN
14015,40COM*40COM-131*72-160-PLAIN
14015,40COM*40COM-131*72-160-PLAIN
14015,40COM*40COM-131*72-160-PLAIN
14015,40COM*40COM-131*72-160-PLAIN
14015,40COM*40COM-131*72-160-PLAIN
14015,40COM*40COM-131*72-160-PLAIN
14015,40COM*40COM-131*72-160-PLAIN
14015,40COM*40C-131*72-160-PLAIN
14015,40COM*40C-131*72-160-PLAIN
14015,40COM INC*40COM INC-133*72-160.1-PLAIN
14015,40C*40COM-131*72-160-PLAIN
14015,40C*40C-133*72-157.5-PLAIN
14015,40C*40C-133*72-157.5-PLAIN
14015,40C*40C-131*72-160-PLAIN
14015,40C*40C-131*72-160-PLAIN
14015,40C*40C-131*72-160-PLAIN
14015,40C*40C-131*72-160-PLAIN
14015,40C*40C-131*72-160-PLAIN
14019,40COM*40COM-118*100-159- PLAIN
14019,40C*40C-118*100-159-PLAIN
14095,40COM.OG*2/30C.OG-92*50-175.8-OXFORD
